date,pincode,district,latitude,longitude,disease_type,symptoms,reported_cases
2026-07-13,814112,Deoghar,24.4823,86.6961,Kala-azar (Visceral Leishmaniasis),"prolonged fever, weight loss, spleen enlargement, anemia",4
2026-07-13,834001,Ranchi,23.3441,85.3096,Dengue,"high fever, severe headache, joint pain, skin rash",5
2026-07-13,826001,Dhanbad,23.7957,86.4304,Dengue,"high fever, severe headache, joint pain, skin rash",6
2026-07-13,827001,Bokaro,23.6693,86.1511,Dengue,"high fever, severe headache, joint pain, skin rash",7
2026-07-13,831001,Jamshedpur,22.8046,86.2029,Dengue,"high fever, severe headache, joint pain, skin rash",2
2026-07-13,833201,West Singhbhum,22.5497,85.7985,Malaria (P. falciparum),"cyclical fever with chills, sweating, headache, nausea",6
2026-07-13,816109,Sahibganj,25.2494,87.642,Acute Diarrheal Disease / Cholera,"watery diarrhea, vomiting, dehydration, abdominal cramps",2
2026-07-13,822101,Palamu,24.0469,84.0699,Typhoid,"sustained fever, weakness, abdominal pain, loss of appetite",1
2026-07-14,814112,Deoghar,24.4823,86.6961,Kala-azar (Visceral Leishmaniasis),"prolonged fever, weight loss, spleen enlargement, anemia",5
2026-07-14,834001,Ranchi,23.3441,85.3096,Dengue,"high fever, severe headache, joint pain, skin rash",3
2026-07-14,826001,Dhanbad,23.7957,86.4304,Dengue,"high fever, severe headache, joint pain, skin rash",0
2026-07-14,827001,Bokaro,23.6693,86.1511,Dengue,"high fever, severe headache, joint pain, skin rash",6
2026-07-14,831001,Jamshedpur,22.8046,86.2029,Dengue,"high fever, severe headache, joint pain, skin rash",4
2026-07-14,833201,West Singhbhum,22.5497,85.7985,Malaria (P. falciparum),"cyclical fever with chills, sweating, headache, nausea",4
2026-07-14,816109,Sahibganj,25.2494,87.642,Acute Diarrheal Disease / Cholera,"watery diarrhea, vomiting, dehydration, abdominal cramps",2
2026-07-14,822101,Palamu,24.0469,84.0699,Typhoid,"sustained fever, weakness, abdominal pain, loss of appetite",1
2026-07-15,814112,Deoghar,24.4823,86.6961,Kala-azar (Visceral Leishmaniasis),"prolonged fever, weight loss, spleen enlargement, anemia",1
2026-07-15,834001,Ranchi,23.3441,85.3096,Dengue,"high fever, severe headache, joint pain, skin rash",7
2026-07-15,826001,Dhanbad,23.7957,86.4304,Dengue,"high fever, severe headache, joint pain, skin rash",1
2026-07-15,827001,Bokaro,23.6693,86.1511,Dengue,"high fever, severe headache, joint pain, skin rash",3
2026-07-15,831001,Jamshedpur,22.8046,86.2029,Dengue,"high fever, severe headache, joint pain, skin rash",3
2026-07-15,833201,West Singhbhum,22.5497,85.7985,Malaria (P. falciparum),"cyclical fever with chills, sweating, headache, nausea",3
2026-07-15,816109,Sahibganj,25.2494,87.642,Acute Diarrheal Disease / Cholera,"watery diarrhea, vomiting, dehydration, abdominal cramps",4
2026-07-15,822101,Palamu,24.0469,84.0699,Typhoid,"sustained fever, weakness, abdominal pain, loss of appetite",3
2026-07-16,814112,Deoghar,24.4823,86.6961,Kala-azar (Visceral Leishmaniasis),"prolonged fever, weight loss, spleen enlargement, anemia",1
2026-07-16,834001,Ranchi,23.3441,85.3096,Dengue,"high fever, severe headache, joint pain, skin rash",4
2026-07-16,826001,Dhanbad,23.7957,86.4304,Dengue,"high fever, severe headache, joint pain, skin rash",6
2026-07-16,827001,Bokaro,23.6693,86.1511,Dengue,"high fever, severe headache, joint pain, skin rash",2
2026-07-16,831001,Jamshedpur,22.8046,86.2029,Dengue,"high fever, severe headache, joint pain, skin rash",2
2026-07-16,833201,West Singhbhum,22.5497,85.7985,Malaria (P. falciparum),"cyclical fever with chills, sweating, headache, nausea",1
2026-07-16,816109,Sahibganj,25.2494,87.642,Acute Diarrheal Disease / Cholera,"watery diarrhea, vomiting, dehydration, abdominal cramps",4
2026-07-16,822101,Palamu,24.0469,84.0699,Typhoid,"sustained fever, weakness, abdominal pain, loss of appetite",1
